Frame	Subject	Relation	Object
0	bowl	on	table
0	oil_bottle	on	table
0	saltshaker	on	table
0	shell_egg	on	table
0	frying_pan	on	stove
0	spoon	in	saltshaker
1	bowl	on	table
1	oil_bottle	on	table
1	saltshaker	on	table
1	shell_egg	on	table
1	frying_pan	on	stove
1	spoon	in	saltshaker
2	bowl	on	table
2	oil_bottle	on	table
2	saltshaker	on	table
2	shell_egg	on	table
2	frying_pan	on	stove
2	spoon	in	saltshaker
3	bowl	on	table
3	oil_bottle	on	table
3	saltshaker	on	table
3	shell_egg	on	table
3	frying_pan	on	stove
3	spoon	in	saltshaker
4	bowl	on	table
4	oil_bottle	on	table
4	saltshaker	on	table
4	shell_egg	on	table
4	frying_pan	on	stove
4	spoon	in	saltshaker
5	bowl	on	table
5	oil_bottle	on	table
5	saltshaker	on	table
5	shell_egg	on	table
5	frying_pan	on	stove
5	spoon	in	saltshaker
6	bowl	on	table
6	oil_bottle	on	table
6	saltshaker	on	table
6	shell_egg	on	table
6	frying_pan	on	stove
6	spoon	in	saltshaker
7	bowl	on	table
7	oil_bottle	on	table
7	saltshaker	on	table
7	shell_egg	on	table
7	frying_pan	on	stove
7	spoon	in	saltshaker
8	bowl	on	table
8	oil_bottle	on	table
8	saltshaker	on	table
8	shell_egg	on	table
8	frying_pan	on	stove
8	spoon	in	saltshaker
9	bowl	on	table
9	oil_bottle	on	table
9	saltshaker	on	table
9	shell_egg	on	table
9	frying_pan	on	stove
9	spoon	in	saltshaker
10	bowl	on	table
10	oil_bottle	on	table
10	saltshaker	on	table
10	shell_egg	on	table
10	frying_pan	on	stove
10	spoon	in	saltshaker
11	bowl	on	table
11	oil_bottle	on	table
11	saltshaker	on	table
11	shell_egg	on	table
11	frying_pan	on	stove
11	spoon	in	saltshaker
12	bowl	on	table
12	oil_bottle	on	table
12	saltshaker	on	table
12	shell_egg	on	table
12	frying_pan	on	stove
12	spoon	in	saltshaker
13	bowl	on	table
13	oil_bottle	on	table
13	saltshaker	on	table
13	shell_egg	on	table
13	frying_pan	on	stove
13	spoon	in	saltshaker
14	bowl	on	table
14	oil_bottle	on	table
14	saltshaker	on	table
14	shell_egg	on	table
14	frying_pan	on	stove
14	spoon	in	saltshaker
15	bowl	on	table
15	oil_bottle	on	table
15	saltshaker	on	table
15	shell_egg	on	table
15	frying_pan	on	stove
15	spoon	in	saltshaker
16	bowl	on	table
16	oil_bottle	on	table
16	saltshaker	on	table
16	shell_egg	on	table
16	frying_pan	on	stove
16	spoon	in	saltshaker
17	bowl	on	table
17	oil_bottle	on	table
17	saltshaker	on	table
17	shell_egg	on	table
17	frying_pan	on	stove
17	spoon	in	saltshaker
18	bowl	on	table
18	oil_bottle	on	table
18	saltshaker	on	table
18	shell_egg	on	table
18	frying_pan	on	stove
18	spoon	in	saltshaker
19	bowl	on	table
19	oil_bottle	on	table
19	saltshaker	on	table
19	shell_egg	on	table
19	frying_pan	on	stove
19	spoon	in	saltshaker
20	bowl	on	table
